x_m,y_m
3.004000,-7.186000
3.054000,-7.236000
3.104000,-7.236000
3.154000,-7.236000
3.204000,-7.236000
3.254000,-7.236000
3.304000,-7.236000
3.354000,-7.236000
3.404000,-7.236000
3.454000,-7.236000
3.504000,-7.236000
3.554000,-7.236000
3.604000,-7.236000
3.654000,-7.236000
3.704000,-7.236000
3.754000,-7.236000
3.804000,-7.236000
3.854000,-7.236000
3.904000,-7.236000
3.954000,-7.236000
4.004000,-7.236000
4.054000,-7.236000
4.104000,-7.236000
4.154000,-7.236000
4.204000,-7.236000
4.254000,-7.236000
4.304000,-7.236000
4.354000,-7.236000
4.404000,-7.236000
4.454000,-7.236000
4.504000,-7.236000
4.554000,-7.236000
4.604000,-7.236000
4.654000,-7.236000
4.704000,-7.236000
4.754000,-7.236000
4.804000,-7.236000
4.854000,-7.236000
4.904000,-7.236000
4.954000,-7.236000
5.004000,-7.236000
5.054000,-7.236000
5.104000,-7.236000
5.154000,-7.236000
5.204000,-7.236000
5.254000,-7.236000
5.304000,-7.236000
5.354000,-7.236000
5.404000,-7.236000
5.454000,-7.236000
5.504000,-7.236000
5.554000,-7.236000
5.604000,-7.236000
5.654000,-7.236000
5.704000,-7.186000
5.754000,-7.186000
5.804000,-7.186000
5.854000,-7.186000
5.904000,-7.186000
5.954000,-7.186000
6.004000,-7.186000
6.054000,-7.136000
6.104000,-7.136000
6.154000,-7.136000
6.204000,-7.136000
6.254000,-7.086000
6.304000,-7.086000
6.354000,-7.036000
6.404000,-6.986000
6.454000,-6.986000
6.504000,-6.936000
6.554000,-6.936000
6.604000,-6.886000
6.654000,-6.886000
6.704000,-6.836000
6.754000,-6.836000
6.804000,-6.786000
6.854000,-6.786000
6.904000,-6.736000
6.954000,-6.736000
7.004000,-6.686000
7.004000,-6.636000
7.054000,-6.636000
7.104000,-6.586000
7.154000,-6.586000
7.204000,-6.536000
7.254000,-6.486000
7.304000,-6.436000
7.354000,-6.386000
7.404000,-6.336000
7.454000,-6.286000
7.504000,-6.236000
7.554000,-6.186000
7.604000,-6.136000
7.654000,-6.086000
7.704000,-6.036000
7.754000,-5.986000
7.804000,-5.936000
7.804000,-5.886000
7.854000,-5.836000
7.904000,-5.786000
7.954000,-5.736000
7.954000,-5.686000
8.004000,-5.636000
8.054000,-5.586000
8.104000,-5.536000
8.104000,-5.486000
8.154000,-5.436000
8.204000,-5.386000
8.204000,-5.336000
8.254000,-5.286000
8.254000,-5.236000
8.304000,-5.186000
8.304000,-5.136000
8.354000,-5.086000
8.404000,-5.036000
8.404000,-4.986000
8.404000,-4.936000
8.454000,-4.886000
8.454000,-4.836000
8.454000,-4.786000
8.504000,-4.736000
8.504000,-4.686000
8.504000,-4.636000
8.554000,-4.586000
8.554000,-4.536000
8.604000,-4.486000
8.604000,-4.436000
8.604000,-4.386000
8.604000,-4.336000
8.654000,-4.286000
8.654000,-4.236000
8.654000,-4.186000
8.704000,-4.136000
8.704000,-4.086000
8.704000,-4.036000
8.754000,-3.986000
8.754000,-3.936000
8.754000,-3.886000
8.754000,-3.836000
8.804000,-3.786000
8.854000,-3.736000
8.854000,-3.686000
8.854000,-3.636000
8.854000,-3.586000
8.854000,-3.536000
8.804000,-3.486000
8.754000,-3.486000
8.704000,-3.436000
8.654000,-3.436000
8.604000,-3.436000
8.554000,-3.486000
8.504000,-3.486000
8.454000,-3.536000
8.454000,-3.586000
8.454000,-3.636000
8.404000,-3.686000
8.404000,-3.736000
8.404000,-3.786000
8.354000,-3.836000
8.354000,-3.886000
8.354000,-3.936000
8.304000,-3.986000
8.304000,-4.036000
8.304000,-4.086000
8.254000,-4.136000
8.254000,-4.186000
8.254000,-4.236000
8.254000,-4.286000
8.204000,-4.336000
8.204000,-4.386000
8.204000,-4.436000
8.154000,-4.486000
8.154000,-4.536000
8.154000,-4.586000
8.104000,-4.636000
8.104000,-4.686000
8.054000,-4.736000
8.054000,-4.786000
8.004000,-4.836000
8.004000,-4.886000
8.004000,-4.936000
7.954000,-4.986000
7.904000,-5.036000
7.904000,-5.086000
7.854000,-5.136000
7.804000,-5.186000
7.804000,-5.236000
7.754000,-5.286000
7.704000,-5.336000
7.704000,-5.386000
7.654000,-5.436000
7.604000,-5.486000
7.604000,-5.536000
7.554000,-5.586000
7.504000,-5.636000
7.454000,-5.686000
7.454000,-5.736000
7.404000,-5.736000
7.354000,-5.786000
7.354000,-5.836000
7.304000,-5.836000
7.254000,-5.886000
7.204000,-5.936000
7.154000,-5.986000
7.104000,-5.986000
7.054000,-6.036000
7.004000,-6.086000
6.954000,-6.136000
6.904000,-6.136000
6.854000,-6.186000
6.804000,-6.186000
6.754000,-6.236000
6.704000,-6.286000
6.654000,-6.336000
6.604000,-6.336000
6.554000,-6.386000
6.504000,-6.436000
6.454000,-6.436000
6.404000,-6.486000
