x_m,y_m,w_tr_right_m,w_tr_left_m
4.704000,-7.866070,0.3602,0.1595
4.754000,-7.868917,0.3525,0.1595
4.804000,-7.871498,0.3509,0.1595
4.854000,-7.874684,0.3432,0.1595
4.904000,-7.877493,0.3309,0.1595
4.954000,-7.880798,0.2930,0.1595
5.004000,-7.883620,0.2883,0.1595
5.054000,-7.886835,0.2853,0.1604
5.104000,-7.889467,0.2848,0.1610
5.154000,-7.892394,0.2627,0.1671
5.204000,-7.894643,0.2540,0.1697
5.254000,-7.897096,0.2525,0.1752
5.304000,-7.899652,0.2485,0.1840
5.354000,-7.901344,0.2400,0.1998
5.404000,-7.903059,0.2354,0.2180
5.454000,-7.903832,0.2181,0.2384
5.504000,-7.904553,0.2126,0.2429
5.554000,-7.905130,0.2057,0.2717
5.604000,-7.905475,0.1840,0.2859
5.654000,-7.906485,0.1745,0.2925
5.704000,-7.907210,0.1712,0.3169
5.754000,-7.906703,0.1653,0.3259
5.804000,-7.905869,0.1634,0.3289
5.854000,-7.904635,0.1607,0.3329
5.904000,-7.902928,0.1500,0.3380
5.954000,-7.900679,0.1500,0.3444
6.004000,-7.897822,0.1500,0.3520
6.054000,-7.894293,0.1500,0.3610
6.104000,-7.890031,0.1500,0.3714
6.154000,-7.884979,0.1500,0.3832
6.204000,-7.879081,0.1500,0.3965
6.254000,-7.872285,0.1500,0.4062
6.304000,-7.864542,0.1500,0.4153
6.354000,-7.855806,0.1500,0.4256
6.404000,-7.846031,0.1500,0.4371
6.454000,-7.835178,0.1500,0.4449
6.504870,-7.823208,0.1500,0.4484
6.555629,-7.810087,0.1500,0.4534
6.606279,-7.795781,0.1500,0.4565
6.656823,-7.780260,0.1500,0.4572
6.707263,-7.763499,0.1500,0.4572
6.757604,-7.745473,0.1500,0.4572
6.808717,-7.727145,0.1500,0.4572
6.859624,-7.707630,0.1500,0.4572
6.910331,-7.686914,0.1500,0.4572
6.961713,-7.664989,0.1500,0.4572
7.012794,-7.641847,0.1500,0.4572
7.063583,-7.617484,0.1500,0.4572
7.114088,-7.591898,0.1500,0.4547
7.164318,-7.565091,0.1500,0.4510
7.215150,-7.537067,0.1500,0.4484
7.265613,-7.507833,0.1500,0.4465
7.316588,-7.477399,0.1500,0.4458
7.367103,-7.445778,0.1500,0.4366
7.418044,-7.412985,0.1500,0.4247
7.468442,-7.379038,0.1500,0.4077
7.518315,-7.343960,0.1500,0.3952
7.568550,-7.307773,0.1500,0.3870
7.619053,-7.270504,0.1500,0.3767
7.668860,-7.232184,0.1500,0.3550
7.717995,-7.192845,0.1500,0.3390
7.767351,-7.152522,0.1500,0.3289
7.816838,-7.111252,0.1500,0.3191
7.866371,-7.069078,0.1500,0.3061
7.914996,-7.026043,0.1500,0.2940
7.963614,-6.982193,0.1500,0.2833
8.011275,-6.937579,0.1500,0.2704
8.058012,-6.892251,0.1500,0.2620
8.104730,-6.846266,0.1500,0.2576
8.151350,-6.799681,0.1528,0.2504
8.196929,-6.752556,0.1588,0.2436
8.242375,-6.704956,0.2184,0.2403
8.287616,-6.656947,0.2332,0.2375
8.332584,-6.608598,0.2506,0.2317
8.376341,-6.558996,0.2758,0.2262
8.419807,-6.509084,0.2911,0.2251
8.462917,-6.458936,0.3203,0.2251
8.505611,-6.408631,0.3311,0.2251
8.547830,-6.358248,0.3554,0.2251
8.588650,-6.307871,0.3664,0.2251
8.629000,-6.257586,0.3664,0.2251
8.668828,-6.206497,0.3664,0.2251
8.708085,-6.155564,0.3664,0.2251
8.746723,-6.104879,0.3664,0.2278
8.784699,-6.053551,0.3664,0.2309
8.821972,-6.002545,0.3664,0.2350
8.858504,-5.950975,0.3554,0.2395
8.894260,-5.899807,0.3510,0.2450
8.929207,-5.848157,0.3462,0.2502
8.962445,-5.796997,0.3389,0.2540
8.994929,-5.745444,0.3335,0.2561
9.026633,-5.694472,0.3282,0.2578
9.057532,-5.643201,0.3229,0.2611
9.087605,-5.591624,0.3188,0.2639
9.116834,-5.540717,0.3147,0.2676
9.145204,-5.489604,0.2740,0.2689
9.173571,-5.439263,0.2587,0.2714
9.200944,-5.388823,0.2429,0.2795
9.227320,-5.338279,0.2388,0.2847
9.253566,-5.287629,0.2366,0.2914
9.278702,-5.236870,0.2352,0.3036
9.302736,-5.186000,0.2286,0.3089
9.326547,-5.136000,0.2226,0.3155
9.349166,-5.086000,0.2199,0.3317
9.370613,-5.036000,0.2173,0.3356
9.391777,-4.986000,0.2152,0.3356
9.412572,-4.936000,0.2113,0.3358
9.432916,-4.886000,0.2095,0.3365
9.452732,-4.835130,0.2060,0.3372
9.471951,-4.784371,0.2054,0.3382
9.490506,-4.732851,0.1893,0.3392
9.508338,-4.681549,0.1706,0.3402
9.525394,-4.629588,0.1586,0.3402
9.541627,-4.577075,0.1500,0.3402
9.556993,-4.524112,0.1500,0.3402
9.571455,-4.470800,0.1500,0.3402
9.584984,-4.418107,0.1500,0.3439
9.596568,-4.365145,0.1500,0.3470
9.607055,-4.312010,0.1500,0.3470
9.616429,-4.258792,0.1500,0.3470
9.624678,-4.205580,0.1500,0.3470
9.631797,-4.153332,0.1500,0.3470
9.637785,-4.101149,0.1500,0.3470
9.641663,-4.049113,0.1500,0.3470
9.644311,-3.998177,0.1500,0.3470
9.645742,-3.947434,0.1500,0.3426
9.644992,-3.896965,0.1500,0.3305
9.642952,-3.846842,0.1500,0.3213
9.639653,-3.797138,0.1500,0.3131
9.635127,-3.747923,0.1500,0.3061
9.629414,-3.699262,0.1500,0.2983
9.621574,-3.650349,0.1500,0.2916
9.612526,-3.601357,0.1500,0.2851
9.601340,-3.552451,0.1500,0.2771
9.588940,-3.503794,0.1500,0.2668
9.574406,-3.455540,0.1500,0.2553
9.557802,-3.407839,0.1500,0.2474
9.540181,-3.360835,0.1500,0.2401
9.519760,-3.314666,0.1500,0.2315
9.496615,-3.269466,0.1500,0.2315
9.471801,-3.225361,0.1500,0.2315
9.445511,-3.182472,0.1500,0.2315
9.416954,-3.140916,0.1500,0.2315
9.386207,-3.100802,0.1500,0.2315
9.354221,-3.062236,0.1500,0.2315
9.321077,-3.025316,0.1500,0.2315
9.285990,-2.990134,0.1500,0.2324
9.250900,-2.956780,0.1500,0.2346
9.215026,-2.925334,0.1500,0.2395
9.177591,-2.895873,0.1500,0.2468
9.138690,-2.868467,0.1500,0.2539
9.100269,-2.843182,0.1500,0.2632
9.060573,-2.820077,0.1500,0.2766
9.019700,-2.799205,0.1500,0.2904
8.978621,-2.780614,0.1500,0.3050
8.937435,-2.764348,0.1500,0.3228
8.895379,-2.750441,0.1500,0.3422
8.853426,-2.738927,0.1500,0.3570
8.810699,-2.729829,0.1500,0.3700
8.767305,-2.723168,0.1500,0.3833
8.725207,-2.718958,0.1500,0.3985
8.682663,-2.717207,0.1500,0.4090
8.640655,-2.717919,0.1500,0.4090
8.598316,-2.721089,0.1500,0.4090
8.556631,-2.726711,0.1500,0.4090
8.514734,-2.734769,0.1500,0.4090
8.472744,-2.745245,0.1500,0.4090
8.431649,-2.758112,0.1500,0.4090
8.391457,-2.773339,0.1500,0.4090
8.351307,-2.790890,0.1500,0.4040
8.312309,-2.810723,0.1500,0.3997
8.274589,-2.832789,0.1500,0.3997
8.238162,-2.857035,0.1500,0.3997
8.202178,-2.883401,0.1500,0.3997
8.167638,-2.911823,0.1500,0.3997
8.133695,-2.942229,0.1500,0.3997
8.101353,-2.974545,0.1500,0.3997
8.069652,-3.008687,0.1500,0.3997
8.038616,-3.044568,0.1500,0.4001
8.009254,-3.082095,0.1500,0.4001
7.980607,-3.121169,0.1500,0.4001
7.952704,-3.161686,0.1500,0.4001
7.926555,-3.203535,0.1500,0.4001
7.901205,-3.246601,0.1500,0.4001
7.877554,-3.290762,0.1500,0.4001
7.855634,-3.335891,0.1500,0.4001
7.834497,-3.381856,0.1500,0.3982
7.814063,-3.428518,0.1500,0.3502
7.794253,-3.475732,0.1500,0.3154
7.774989,-3.524335,0.1500,0.2806
7.756190,-3.573303,0.1500,0.2348
7.737778,-3.623462,0.1500,0.1977
7.719674,-3.674652,0.1500,0.1772
7.701799,-3.726709,0.1500,0.1500
7.684074,-3.780450,0.1500,0.1500
7.666419,-3.834839,0.1500,0.1500
7.648755,-3.889821,0.1500,0.1500
7.631005,-3.945223,0.1500,0.1500
7.613087,-4.001741,0.1500,0.1500
7.594924,-4.059200,0.1500,0.1500
7.576436,-4.116554,0.1500,0.1500
7.557544,-4.174609,0.1500,0.1500
7.538169,-4.232204,0.1500,0.1500
7.518232,-4.290028,0.1500,0.1500
7.497654,-4.347029,0.1500,0.1500
7.476356,-4.403025,0.1500,0.1500
7.454259,-4.458699,0.2092,0.1500
7.431283,-4.513865,0.2460,0.1500
7.407350,-4.568336,0.2888,0.1500
7.382380,-4.621055,0.3378,0.1500
7.356295,-4.672818,0.3498,0.1500
7.329015,-4.723437,0.3498,0.1500
7.300462,-4.773705,0.3498,0.1500
7.270555,-4.823551,0.3498,0.1500
7.239217,-4.872907,0.3498,0.1500
7.206368,-4.920834,0.3498,0.1500
7.171928,-4.968252,0.3498,0.1500
7.136804,-5.015097,0.3498,0.1500
7.100049,-5.061309,0.3403,0.1500
7.062572,-5.106828,0.3326,0.1500
7.024412,-5.150731,0.3258,0.1500
6.985615,-5.193946,0.3217,0.1500
6.946226,-5.236422,0.3184,0.1500
6.906296,-5.278109,0.3159,0.1500
6.865875,-5.318959,0.3095,0.1500
6.824035,-5.358931,0.2959,0.1500
6.781702,-5.397982,0.2863,0.1500
6.738932,-5.436074,0.2777,0.1500
6.694803,-5.474043,0.2696,0.1500
6.650244,-5.510874,0.2619,0.1500
6.605320,-5.546540,0.2572,0.1500
6.560097,-5.581888,0.2536,0.1500
6.513659,-5.616784,0.2516,0.1500
6.466947,-5.651102,0.2516,0.1500
6.420031,-5.684720,0.2516,0.1500
6.372003,-5.717522,0.2516,0.1500
6.323807,-5.749399,0.2516,0.1500
6.275520,-5.780245,0.2516,0.1500
6.226240,-5.809962,0.2516,0.1500
6.176916,-5.838457,0.2516,0.1500
6.127632,-5.864772,0.2575,0.1500
6.077489,-5.889807,0.2633,0.1500
6.027445,-5.913482,0.2731,0.1500
5.976602,-5.934854,0.2827,0.1500
5.925920,-5.954838,0.2904,0.1500
5.874507,-5.973367,0.2995,0.1500
5.823325,-5.990383,0.3093,0.1500
5.772467,-6.005833,0.3207,0.1500
5.721048,-6.019667,0.3345,0.1500
5.669050,-6.031845,0.3491,0.1500
5.617440,-6.042328,0.3645,0.1500
5.566319,-6.051086,0.3827,0.1500
5.514805,-6.058094,0.4031,0.1500
5.462888,-6.063332,0.4244,0.1500
5.411540,-6.066785,0.4531,0.1500
5.359883,-6.067575,0.4818,0.1500
5.308892,-6.066681,0.4894,0.1500
5.257693,-6.064103,0.5004,0.1500
5.206279,-6.058977,0.5120,0.1500
5.155629,-6.052294,0.5221,0.1500
5.104870,-6.044071,0.5358,0.1500
5.054000,-6.033455,0.5536,0.1500
5.004000,-6.020585,0.5569,0.1500
4.954000,-6.006470,0.5569,0.1500
4.904000,-5.991141,0.5569,0.1500
4.854000,-5.973764,0.5569,0.1500
4.804000,-5.955365,0.5569,0.1500
4.754000,-5.935987,0.5569,0.1500
4.704000,-5.914812,0.5569,0.1500
4.654000,-5.892878,0.5569,0.1500
4.604000,-5.870244,0.5528,0.1500
4.554000,-5.846105,0.5485,0.1500
4.504000,-5.820643,0.5303,0.1500
4.454000,-5.793059,0.5181,0.1500
4.404000,-5.765277,0.5085,0.1500
4.354000,-5.735520,0.4962,0.1500
4.304000,-5.704848,0.4901,0.1500
4.254000,-5.673455,0.4830,0.1500
4.204000,-5.640553,0.4769,0.1500
4.154000,-5.607093,0.4722,0.1500
4.104000,-5.572175,0.4524,0.1500
4.054000,-5.536870,0.4363,0.1500
4.004000,-5.500393,0.3899,0.1500
3.954000,-5.463704,0.3664,0.1500
3.904000,-5.425908,0.3370,0.1500
3.854000,-5.388080,0.3031,0.1500
3.804000,-5.349442,0.2643,0.1500
3.754000,-5.310959,0.2574,0.1500
3.704000,-5.271741,0.2004,0.1500
3.654000,-5.231885,0.1884,0.1500
3.604000,-5.192472,0.1647,0.1500
3.554000,-5.152729,0.1500,0.1500
3.504000,-5.111886,0.1500,0.1500
3.454000,-5.071023,0.1500,0.1500
3.404000,-5.030237,0.1500,0.1500
3.354000,-4.989623,0.1500,0.1500
3.304000,-4.950261,0.1500,0.1500
3.254000,-4.911381,0.1500,0.1500
3.204000,-4.872212,0.1500,0.1500
3.154000,-4.833833,0.1500,0.1500
3.104000,-4.796341,0.1500,0.1500
3.054000,-4.760816,0.1500,0.1500
3.004000,-4.726488,0.1500,0.1500
2.954000,-4.693454,0.1500,0.1503
2.904000,-4.660944,0.1500,0.2070
2.854000,-4.630038,0.1500,0.2646
2.804000,-4.600832,0.1500,0.3155
2.754000,-4.573423,0.1500,0.3652
2.704000,-4.547035,0.1500,0.3689
2.654000,-4.521763,0.1500,0.3759
2.604000,-4.498567,0.1500,0.3785
2.554000,-4.477537,0.1500,0.3785
2.504000,-4.456909,0.1500,0.3785
2.454000,-4.437637,0.1500,0.3785
2.404000,-4.419690,0.1500,0.3785
2.354000,-4.402162,0.1500,0.3785
2.304000,-4.385996,0.1500,0.3785
